idx,is_inclusive,premise,question,label
1,1,Rowland is not drunk or Gregorio is not distant. Gregorio is distant.,Rowland is drunk,0
2,1,Rowland is not drunk or Gregorio is not distant. Gregorio is distant.,Rowland is not drunk,1
3,1,Rowland is not drunk or Gregorio is not distant. Gregorio is distant.,Gregorio is distant,1
4,1,Rowland is not drunk or Gregorio is not distant. Gregorio is distant.,Gregorio is not distant,0
5,0,Either Dina is sedate or Mackenzie is intolerant. Dina is sedate.,Dina is sedate,1
6,0,Either Dina is sedate or Mackenzie is intolerant. Dina is sedate.,Dina is not sedate,0
7,0,Either Dina is sedate or Mackenzie is intolerant. Dina is sedate.,Mackenzie is intolerant,0
8,0,Either Dina is sedate or Mackenzie is intolerant. Dina is sedate.,Mackenzie is not intolerant,1
9,1,Tressa is not patient or Chip is callous. Tressa is patient.,Tressa is patient,1
10,1,Tressa is not patient or Chip is callous. Tressa is patient.,Tressa is not patient,0
11,1,Tressa is not patient or Chip is callous. Tressa is patient.,Chip is callous,1
12,1,Tressa is not patient or Chip is callous. Tressa is patient.,Chip is not callous,0
13,0,Either Matthew is ardent or Marshall is indolent. Matthew is ardent.,Matthew is ardent,1
14,0,Either Matthew is ardent or Marshall is indolent. Matthew is ardent.,Matthew is not ardent,0
15,0,Either Matthew is ardent or Marshall is indolent. Matthew is ardent.,Marshall is indolent,0
16,0,Either Matthew is ardent or Marshall is indolent. Matthew is ardent.,Marshall is not indolent,1
17,0,Either Lea is beneficent or Kennith is not leery. Lea is beneficent.,Lea is beneficent,1
18,0,Either Lea is beneficent or Kennith is not leery. Lea is beneficent.,Lea is not beneficent,0
19,0,Either Lea is beneficent or Kennith is not leery. Lea is beneficent.,Kennith is leery,1
20,0,Either Lea is beneficent or Kennith is not leery. Lea is beneficent.,Kennith is not leery,0
21,0,Either Jeanette is not love-lorn or Micah is not elfin. Jeanette is love-lorn.,Jeanette is love-lorn,1
22,0,Either Jeanette is not love-lorn or Micah is not elfin. Jeanette is love-lorn.,Jeanette is not love-lorn,0
23,0,Either Jeanette is not love-lorn or Micah is not elfin. Jeanette is love-lorn.,Micah is elfin,0
24,0,Either Jeanette is not love-lorn or Micah is not elfin. Jeanette is love-lorn.,Micah is not elfin,1
25,1,Alexander is not sour or Kadin is charming. Alexander is not sour.,Alexander is sour,0
26,1,Alexander is not sour or Kadin is charming. Alexander is not sour.,Alexander is not sour,1
27,1,Alexander is not sour or Kadin is charming. Alexander is not sour.,Kadin is charming,1
28,1,Alexander is not sour or Kadin is charming. Alexander is not sour.,Kadin is not charming,1
29,0,Either Clinton is hot-headed or Elliot is not tranquil. Elliot is tranquil.,Clinton is hot-headed,1
30,0,Either Clinton is hot-headed or Elliot is not tranquil. Elliot is tranquil.,Clinton is not hot-headed,0
31,0,Either Clinton is hot-headed or Elliot is not tranquil. Elliot is tranquil.,Elliot is tranquil,1
32,0,Either Clinton is hot-headed or Elliot is not tranquil. Elliot is tranquil.,Elliot is not tranquil,0
33,0,Either Helena is not musical or Carey is not confident. Helena is musical.,Helena is musical,1
34,0,Either Helena is not musical or Carey is not confident. Helena is musical.,Helena is not musical,0
35,0,Either Helena is not musical or Carey is not confident. Helena is musical.,Carey is confident,0
36,0,Either Helena is not musical or Carey is not confident. Helena is musical.,Carey is not confident,1
37,1,Conway is zealous or Truman is leery. Truman is not leery.,Conway is zealous,1
38,1,Conway is zealous or Truman is leery. Truman is not leery.,Conway is not zealous,0
39,1,Conway is zealous or Truman is leery. Truman is not leery.,Truman is leery,0
40,1,Conway is zealous or Truman is leery. Truman is not leery.,Truman is not leery,1
41,0,Either Meda is not dull or Suzanne is not maternal. Meda is not dull.,Meda is dull,0
42,0,Either Meda is not dull or Suzanne is not maternal. Meda is not dull.,Meda is not dull,1
43,0,Either Meda is not dull or Suzanne is not maternal. Meda is not dull.,Suzanne is maternal,1
44,0,Either Meda is not dull or Suzanne is not maternal. Meda is not dull.,Suzanne is not maternal,0
45,0,Either Lawrence is not eager or Erna is not slothful. Erna is slothful.,Lawrence is eager,0
46,0,Either Lawrence is not eager or Erna is not slothful. Erna is slothful.,Lawrence is not eager,1
47,0,Either Lawrence is not eager or Erna is not slothful. Erna is slothful.,Erna is slothful,1
48,0,Either Lawrence is not eager or Erna is not slothful. Erna is slothful.,Erna is not slothful,0
49,0,Either Rex is not soulless or Marion is numb. Marion is not numb.,Rex is soulless,0
50,0,Either Rex is not soulless or Marion is numb. Marion is not numb.,Rex is not soulless,1
51,0,Either Rex is not soulless or Marion is numb. Marion is not numb.,Marion is numb,0
52,0,Either Rex is not soulless or Marion is numb. Marion is not numb.,Marion is not numb,1
53,1,Elizabeth is unsure or Braden is not hearty. Braden is not hearty.,Elizabeth is unsure,1
54,1,Elizabeth is unsure or Braden is not hearty. Braden is not hearty.,Elizabeth is not unsure,1
55,1,Elizabeth is unsure or Braden is not hearty. Braden is not hearty.,Braden is hearty,0
56,1,Elizabeth is unsure or Braden is not hearty. Braden is not hearty.,Braden is not hearty,1
57,1,Arie is not musical or Percy is tactful. Percy is tactful.,Arie is musical,1
58,1,Arie is not musical or Percy is tactful. Percy is tactful.,Arie is not musical,1
59,1,Arie is not musical or Percy is tactful. Percy is tactful.,Percy is tactful,1
60,1,Arie is not musical or Percy is tactful. Percy is tactful.,Percy is not tactful,0
61,1,Rocco is shy or Gale is careless. Gale is careless.,Rocco is shy,1
62,1,Rocco is shy or Gale is careless. Gale is careless.,Rocco is not shy,1
63,1,Rocco is shy or Gale is careless. Gale is careless.,Gale is careless,1
64,1,Rocco is shy or Gale is careless. Gale is careless.,Gale is not careless,0
65,0,Either Kyler is smart or Jaime is noisy. Jaime is not noisy.,Kyler is smart,1
66,0,Either Kyler is smart or Jaime is noisy. Jaime is not noisy.,Kyler is not smart,0
67,0,Either Kyler is smart or Jaime is noisy. Jaime is not noisy.,Jaime is noisy,0
68,0,Either Kyler is smart or Jaime is noisy. Jaime is not noisy.,Jaime is not noisy,1
69,0,Either Russel is not dextrous or Fidel is surly. Fidel is not surly.,Russel is dextrous,0
70,0,Either Russel is not dextrous or Fidel is surly. Fidel is not surly.,Russel is not dextrous,1
71,0,Either Russel is not dextrous or Fidel is surly. Fidel is not surly.,Fidel is surly,0
72,0,Either Russel is not dextrous or Fidel is surly. Fidel is not surly.,Fidel is not surly,1
